번호,제품명,용량,가격,세부스펙,이미지,상품주소
11,ADATA LEGEND 900 M.2 NVMe 파인인포,2TB,"499,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / 컨트롤러 : 기타 / [성능] 순차읽기 : 6,200MB/s / 순차쓰기 : 2,300MB/s / [지원기능] HMB / ECC / SLC캐싱 / S.M.A.R.T / 전용 S/W / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 300TB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 포함 / 두께 : 3.35mm",https://img.danuri.io/catalog-image/061/402/079/4bd9b19be5b04b4497036ebdb3814e2b.jpg?shrink=130:130&_v=20260921081233,https://prod.danawa.com/info/?pcode=79402016&cate=112760
12,ADATA LEGEND 900 M.2 NVMe 파인인포,1TB,"285,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / 컨트롤러 : 기타 / [성능] 순차읽기 : 6,200MB/s / 순차쓰기 : 2,300MB/s / [지원기능] HMB / ECC / SLC캐싱 / S.M.A.R.T / 전용 S/W / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 300TB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 포함 / 두께 : 3.35mm",https://img.danuri.io/catalog-image/061/402/079/4bd9b19be5b04b4497036ebdb3814e2b.jpg?shrink=130:130&_v=20260921081233,https://prod.danawa.com/info/?pcode=79402034&cate=112760
13,ADATA LEGEND 900 M.2 NVMe 파인인포,512GB,"178,940","M.2 (2280) / PCIe4.0x4 (64GT/s) / 컨트롤러 : 기타 / [성능] 순차읽기 : 6,200MB/s / 순차쓰기 : 2,300MB/s / [지원기능] HMB / ECC / SLC캐싱 / S.M.A.R.T / 전용 S/W / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 300TB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 포함 / 두께 : 3.35mm",https://img.danuri.io/catalog-image/061/402/079/4bd9b19be5b04b4497036ebdb3814e2b.jpg?shrink=130:130&_v=20260921081233,https://prod.danawa.com/info/?pcode=79402061&cate=112760
14,키오시아 EXCERIA PLUS G4 M.2 NVMe,2TB,"447,700","M.2 (2280) / PCIe5.0x4 (128GT/s) / TLC / 컨트롤러 : 파이슨 PS5031-E31T / [성능] 순차읽기 : 10,000MB/s / 순차쓰기 : 7,900MB/s / 읽기IOPS : 1,300K / 쓰기IOPS : 1,400K / [지원기능] GC / SLC캐싱 / TRIM / HMB / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 600TB / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 5.6g",https://img.danuri.io/catalog-image/493/056/074/7829668a50ea43b3886831e946c36763.jpg?shrink=130:130&_v=20260921131054,https://prod.danawa.com/info/?pcode=74056484&cate=112760
15,키오시아 EXCERIA PLUS G4 M.2 NVMe,1TB,"348,400","M.2 (2280) / PCIe5.0x4 (128GT/s) / TLC / 컨트롤러 : 파이슨 PS5031-E31T / [성능] 순차읽기 : 10,000MB/s / 순차쓰기 : 7,900MB/s / 읽기IOPS : 1,300K / 쓰기IOPS : 1,400K / [지원기능] GC / SLC캐싱 / TRIM / HMB / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 600TB / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 5.6g",https://img.danuri.io/catalog-image/493/056/074/7829668a50ea43b3886831e946c36763.jpg?shrink=130:130&_v=20260921131054,https://prod.danawa.com/info/?pcode=74056493&cate=112760
16,Western Digital WD BLACK SN850X M.2 NVMe,4TB,"1,000,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / DRAM 탑재 / DDR4 1GB / 컨트롤러 : WD Black G2 / [성능] 순차읽기 : 7,300MB/s / 순차쓰기 : 6,300MB/s / 읽기IOPS : 800K / 쓰기IOPS : 1,100K / [지원기능] TRIM / SLC캐싱 / S.M.A.R.T / 전용 S/W / [환경특성] MTBF : 180만 / TBW : 600TB / SLC : 300GB / PS5 호환 / A/S기간 : 제한보증 , 5년 / 방열판 미포함 / 두께 : 2.38mm / 7.5g",https://img.danuri.io/catalog-image/487/788/017/1406f2562a854be6a55e2b3499988714.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=17788379&cate=112760
17,Western Digital WD BLACK SN850X M.2 NVMe,2TB,"582,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / DRAM 탑재 / DDR4 1GB / 컨트롤러 : WD Black G2 / [성능] 순차읽기 : 7,300MB/s / 순차쓰기 : 6,300MB/s / 읽기IOPS : 800K / 쓰기IOPS : 1,100K / [지원기능] TRIM / SLC캐싱 / S.M.A.R.T / 전용 S/W / [환경특성] MTBF : 180만 / TBW : 600TB / SLC : 300GB / PS5 호환 / A/S기간 : 제한보증 , 5년 / 방열판 미포함 / 두께 : 2.38mm / 7.5g",https://img.danuri.io/catalog-image/487/788/017/1406f2562a854be6a55e2b3499988714.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=17788451&cate=112760
18,Western Digital WD BLACK SN850X M.2 NVMe,1TB,"377,990","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / DRAM 탑재 / DDR4 1GB / 컨트롤러 : WD Black G2 / [성능] 순차읽기 : 7,300MB/s / 순차쓰기 : 6,300MB/s / 읽기IOPS : 800K / 쓰기IOPS : 1,100K / [지원기능] TRIM / SLC캐싱 / S.M.A.R.T / 전용 S/W / [환경특성] MTBF : 180만 / TBW : 600TB / SLC : 300GB / PS5 호환 / A/S기간 : 제한보증 , 5년 / 방열판 미포함 / 두께 : 2.38mm / 7.5g",https://img.danuri.io/catalog-image/487/788/017/1406f2562a854be6a55e2b3499988714.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=17788487&cate=112760
19,삼성전자 990 EVO Plus M.2 NVMe,4TB,"1,047,420","M.2 (2280) / PCIe4.0x4(64GT/s), PCIe5.0x2 / TLC(토글) / 컨트롤러 : 삼성 Piccolo / [성능] 순차읽기 : 7,150MB/s / 순차쓰기 : 6,300MB/s / 읽기IOPS : 850K / 쓰기IOPS : 1,350K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / HMB / GC / DEVSLP / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 600TB / SLC : 108GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 9g",https://img.danuri.io/catalog-image/543/869/069/bb8eff470ce54b689aaed45ea99a2475.jpg?shrink=130:130&_v=20260921131948,https://prod.danawa.com/info/?pcode=69869606&cate=112760
20,삼성전자 990 EVO Plus M.2 NVMe,2TB,"508,980","M.2 (2280) / PCIe4.0x4(64GT/s), PCIe5.0x2 / TLC(토글) / 컨트롤러 : 삼성 Piccolo / [성능] 순차읽기 : 7,150MB/s / 순차쓰기 : 6,300MB/s / 읽기IOPS : 850K / 쓰기IOPS : 1,350K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / HMB / GC / DEVSLP / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 600TB / SLC : 108GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 9g",https://img.danuri.io/catalog-image/543/869/069/bb8eff470ce54b689aaed45ea99a2475.jpg?shrink=130:130&_v=20260921131948,https://prod.danawa.com/info/?pcode=69869573&cate=112760
21,삼성전자 990 EVO Plus M.2 NVMe,1TB,"328,800","M.2 (2280) / PCIe4.0x4(64GT/s), PCIe5.0x2 / TLC(토글) / 컨트롤러 : 삼성 Piccolo / [성능] 순차읽기 : 7,150MB/s / 순차쓰기 : 6,300MB/s / 읽기IOPS : 850K / 쓰기IOPS : 1,350K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / HMB / GC / DEVSLP / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 600TB / SLC : 108GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 9g",https://img.danuri.io/catalog-image/543/869/069/bb8eff470ce54b689aaed45ea99a2475.jpg?shrink=130:130&_v=20260921131948,https://prod.danawa.com/info/?pcode=69869543&cate=112760
22,SK하이닉스 Platinum P41 M.2 NVMe,2TB,"669,990","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 1GB / 컨트롤러 : SK하이닉스 Aries / [성능] 순차읽기 : 7,000MB/s / 순차쓰기 : 6,500MB/s / 읽기IOPS : 1,400K / 쓰기IOPS : 1,300K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / DEVSLP / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 750TB / SLC : 213GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 7g",https://img.danuri.io/catalog-image/050/001/017/ad7497c5c9bc4f2e8091709069115d7a.jpg?shrink=130:130&_v=20260921080456,https://prod.danawa.com/info/?pcode=17000984&cate=112760
23,SK하이닉스 Platinum P41 M.2 NVMe,1TB,"427,800","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 1GB / 컨트롤러 : SK하이닉스 Aries / [성능] 순차읽기 : 7,000MB/s / 순차쓰기 : 6,500MB/s / 읽기IOPS : 1,400K / 쓰기IOPS : 1,300K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / DEVSLP / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 750TB / SLC : 213GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 7g",https://img.danuri.io/catalog-image/050/001/017/ad7497c5c9bc4f2e8091709069115d7a.jpg?shrink=130:130&_v=20260921080456,https://prod.danawa.com/info/?pcode=17001050&cate=112760
24,SK하이닉스 Platinum P41 M.2 NVMe,500GB,"344,980","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 1GB / 컨트롤러 : SK하이닉스 Aries / [성능] 순차읽기 : 7,000MB/s / 순차쓰기 : 6,500MB/s / 읽기IOPS : 1,400K / 쓰기IOPS : 1,300K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / DEVSLP / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 750TB / SLC : 213GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 7g",https://img.danuri.io/catalog-image/050/001/017/ad7497c5c9bc4f2e8091709069115d7a.jpg?shrink=130:130&_v=20260921080456,https://prod.danawa.com/info/?pcode=17001083&cate=112760
25,삼성전자 PM9A1 M.2 NVMe 벌크,2TB,"618,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 Elpis / [성능] 순차읽기 : 6,400MB/s / 순차쓰기 : 2,700MB/s / 읽기IOPS : 500K / 쓰기IOPS : 600K / [지원기능] TRIM / SLC캐싱 / S.M.A.R.T / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 150TB / SLC : 49GB / PS5 호환 / 방열판 미포함 / 두께 : 2.38mm / 9g / [기타] 노트북 적출상품 / ＊병행, 중고 판매처 확인요망",https://img.danuri.io/catalog-image/969/550/013/c9ee66e0e9284b0fb232af8505cfd8c1.jpg?shrink=130:130&_v=20260921095641,https://prod.danawa.com/info/?pcode=14653847&cate=112760
26,삼성전자 PM9A1 M.2 NVMe 벌크,1TB,"331,900","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 Elpis / [성능] 순차읽기 : 6,400MB/s / 순차쓰기 : 2,700MB/s / 읽기IOPS : 500K / 쓰기IOPS : 600K / [지원기능] TRIM / SLC캐싱 / S.M.A.R.T / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 150TB / SLC : 49GB / PS5 호환 / 방열판 미포함 / 두께 : 2.38mm / 9g / [기타] 노트북 적출상품 / ＊병행, 중고 판매처 확인요망",https://img.danuri.io/catalog-image/969/550/013/c9ee66e0e9284b0fb232af8505cfd8c1.jpg?shrink=130:130&_v=20260921095641,https://prod.danawa.com/info/?pcode=13486118&cate=112760
27,삼성전자 PM9A1 M.2 NVMe 벌크,512GB,"220,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 Elpis / [성능] 순차읽기 : 6,400MB/s / 순차쓰기 : 2,700MB/s / 읽기IOPS : 500K / 쓰기IOPS : 600K / [지원기능] TRIM / SLC캐싱 / S.M.A.R.T / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 150TB / SLC : 49GB / PS5 호환 / 방열판 미포함 / 두께 : 2.38mm / 9g / [기타] 노트북 적출상품 / ＊병행, 중고 판매처 확인요망",https://img.danuri.io/catalog-image/969/550/013/c9ee66e0e9284b0fb232af8505cfd8c1.jpg?shrink=130:130&_v=20260921095641,https://prod.danawa.com/info/?pcode=13649699&cate=112760
28,삼성전자 PM9A1 M.2 NVMe 벌크,256GB,"93,790","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 Elpis / [성능] 순차읽기 : 6,400MB/s / 순차쓰기 : 2,700MB/s / 읽기IOPS : 500K / 쓰기IOPS : 600K / [지원기능] TRIM / SLC캐싱 / S.M.A.R.T / AES 암호화 / [환경특성] MTBF : 150만 / TBW : 150TB / SLC : 49GB / PS5 호환 / 방열판 미포함 / 두께 : 2.38mm / 9g / [기타] 노트북 적출상품 / ＊병행, 중고 판매처 확인요망",https://img.danuri.io/catalog-image/969/550/013/c9ee66e0e9284b0fb232af8505cfd8c1.jpg?shrink=130:130&_v=20260921095641,https://prod.danawa.com/info/?pcode=13550969&cate=112760
29,삼성전자 870 EVO,4TB,"1,933,460","6.4cm(2.5형) / SATA3 (6Gb/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 MKX / [성능] 순차읽기 : 560MB/s / 순차쓰기 : 530MB/s / 읽기IOPS : 98K / 쓰기IOPS : 88K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 300TB / SLC : 22GB / A/S기간 : 5년 , 제한보증 / 두께 : 6.8mm / 45g",https://img.danuri.io/catalog-image/519/190/013/092cc914cdc449d4a9b4f2d9220f7dd4.jpg?shrink=130:130&_v=20260921134943,https://prod.danawa.com/info/?pcode=13190711&cate=112760
30,삼성전자 870 EVO,2TB,"1,048,800","6.4cm(2.5형) / SATA3 (6Gb/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 MKX / [성능] 순차읽기 : 560MB/s / 순차쓰기 : 530MB/s / 읽기IOPS : 98K / 쓰기IOPS : 88K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 300TB / SLC : 22GB / A/S기간 : 5년 , 제한보증 / 두께 : 6.8mm / 45g",https://img.danuri.io/catalog-image/519/190/013/092cc914cdc449d4a9b4f2d9220f7dd4.jpg?shrink=130:130&_v=20260921134943,https://prod.danawa.com/info/?pcode=13190630&cate=112760
31,삼성전자 870 EVO,1TB,"424,990","6.4cm(2.5형) / SATA3 (6Gb/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 MKX / [성능] 순차읽기 : 560MB/s / 순차쓰기 : 530MB/s / 읽기IOPS : 98K / 쓰기IOPS : 88K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 300TB / SLC : 22GB / A/S기간 : 5년 , 제한보증 / 두께 : 6.8mm / 45g",https://img.danuri.io/catalog-image/519/190/013/092cc914cdc449d4a9b4f2d9220f7dd4.jpg?shrink=130:130&_v=20260921134943,https://prod.danawa.com/info/?pcode=13190573&cate=112760
32,삼성전자 870 EVO,500GB,"286,380","6.4cm(2.5형) / SATA3 (6Gb/s) / TLC(토글) / DRAM 탑재 / DDR4 512MB / 컨트롤러 : 삼성 MKX / [성능] 순차읽기 : 560MB/s / 순차쓰기 : 530MB/s / 읽기IOPS : 98K / 쓰기IOPS : 88K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 300TB / SLC : 22GB / A/S기간 : 5년 , 제한보증 / 두께 : 6.8mm / 45g",https://img.danuri.io/catalog-image/519/190/013/092cc914cdc449d4a9b4f2d9220f7dd4.jpg?shrink=130:130&_v=20260921134943,https://prod.danawa.com/info/?pcode=13190519&cate=112760
33,삼성전자 9100 PRO M.2 NVMe,4TB,"1,640,990","M.2 (2280) / PCIe5.0x4 (128GT/s) / TLC(토글) / DRAM 탑재 / DDR4 4GB / 컨트롤러 : 삼성 Presto / [성능] 순차읽기 : 14,800MB/s / 순차쓰기 : 13,400MB/s / 읽기IOPS : 2,200K / 쓰기IOPS : 2,600K / [지원기능] DEVSLP / TRIM / SLC캐싱 / GC / S.M.A.R.T / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 2,400TB / SLC : 442GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 9g",https://img.danuri.io/catalog-image/759/716/078/c5287d93c0c44c94bfb0356f26cf5167.jpg?shrink=130:130&_v=20260921124829,https://prod.danawa.com/info/?pcode=78716759&cate=112760
34,삼성전자 9100 PRO M.2 NVMe,2TB,"933,780","M.2 (2280) / PCIe5.0x4 (128GT/s) / TLC(토글) / DRAM 탑재 / DDR4 4GB / 컨트롤러 : 삼성 Presto / [성능] 순차읽기 : 14,800MB/s / 순차쓰기 : 13,400MB/s / 읽기IOPS : 2,200K / 쓰기IOPS : 2,600K / [지원기능] DEVSLP / TRIM / SLC캐싱 / GC / S.M.A.R.T / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 2,400TB / SLC : 442GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 9g",https://img.danuri.io/catalog-image/759/716/078/c5287d93c0c44c94bfb0356f26cf5167.jpg?shrink=130:130&_v=20260921124829,https://prod.danawa.com/info/?pcode=78716720&cate=112760
35,삼성전자 9100 PRO M.2 NVMe,1TB,"441,010","M.2 (2280) / PCIe5.0x4 (128GT/s) / TLC(토글) / DRAM 탑재 / DDR4 4GB / 컨트롤러 : 삼성 Presto / [성능] 순차읽기 : 14,800MB/s / 순차쓰기 : 13,400MB/s / 읽기IOPS : 2,200K / 쓰기IOPS : 2,600K / [지원기능] DEVSLP / TRIM / SLC캐싱 / GC / S.M.A.R.T / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 2,400TB / SLC : 442GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.38mm / 9g",https://img.danuri.io/catalog-image/759/716/078/c5287d93c0c44c94bfb0356f26cf5167.jpg?shrink=130:130&_v=20260921124829,https://prod.danawa.com/info/?pcode=78716702&cate=112760
36,화웨이 eKitStor Xtreme 201 M.2 NVMe,2TB,"475,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / 컨트롤러 : 화웨이 / [성능] 순차읽기 : 7,400MB/s / 순차쓰기 : 6,700MB/s / 읽기IOPS : 1,000K / 쓰기IOPS : 1,300K / [지원기능] HMB / TRIM / ECC / SLC캐싱 / S.M.A.R.T / 전용 S/W / [환경특성] MTBF : 200만 / TBW : 2,000TB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.7mm",https://img.danuri.io/catalog-image/863/411/102/53aac5ec2ebd4a5bacf8820b7eea54f3.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=102411866&cate=112760
